ds,y,Forecast
2023-10-31,89236.25,37095.83310000002
2023-11-30,0.0,34015.51620000001
2023-12-31,0.0,28115.186400000006
2024-01-31,0.0,16404.251500000017
2024-02-29,0.0,15785.719500000016
2024-03-31,28169.36,21190.16320000004
2024-04-30,51279.259999999995,34310.136099999996
2024-05-31,29151.18,22001.78599999998
