ds,Forecast
2024-06-01,16257.423199999994
2024-07-01,7335.507200000002
2024-08-01,13614.419000000002
2024-09-01,4783.167800000001
2024-10-01,1629.2584
2024-11-01,1716.5938999999998
2024-12-01,1711.6456
2025-01-01,13904.441099999998
2025-02-01,5209.199400000001
2025-03-01,2645.4295
2025-04-01,2720.8709000000003
2025-05-01,1802.4981000000002
